model_alias,model_name,method_name,dataset_name,sample_count,accuracy,avg_response_length_tokens,avg_response_length_chars,avg_total_response_length_tokens,avg_total_response_length_chars,avg_score_i,joint_score,mean_sample_score,mean_efficiency_on_correct,correct_count,total_count,mean_length_factor_on_correct,mean_answer_factor_on_correct,mean_reflection_factor_on_correct,mean_count_factor_on_correct,mean_tail_factor_on_correct
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,cot_zero,math500,50,0.9,2904.88,10609.22,2904.88,10609.22,0.5538932928797222,0.5538932928797222,0.5538932928797222,0.03859248022145075,45,50,0.5240139798073109,0.10340353809940642,0.0034031483911866746,0.13647968051489662,0.5301283672871113
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,cot_zero,gsm8k,50,0.9,935.98,3531.3,935.98,3531.3,0.6312265663096349,0.6312265663096349,0.6312265663096349,0.25340712863787485,45,50,0.9013728540421222,0.44696312172534713,0.03574188588831097,0.47072774290848346,0.7615995285427034
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,cot_zero,aime2024,30,0.4,11365.566666666668,41051.8,11365.566666666668,41051.8,0.24000351474208576,0.24000351474208576,0.24000351474208576,2.196713803606006e-05,12,30,0.004571349789241671,0.041402851292572575,1.0785608760382733e-13,0.04285588296841518,0.6904742413145843
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,cot_few_shot,math500,50,0.92,2352.12,8466.12,2352.12,8466.12,0.5630363097723944,0.5630363097723944,0.5630363097723944,0.02998997220759362,46,50,0.6525901907513569,0.03127047465540675,0.006565627679676625,0.0401277584609724,0.6443516502140968
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,cot_few_shot,gsm8k,50,0.92,563.2,2098.98,563.2,2098.98,0.6160188235080069,0.6160188235080069,0.6160188235080069,0.17396419431523608,46,50,0.9558744553956121,0.15109377533173732,0.080306753565627,0.1541523750968828,0.8941347167689888
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,cot_few_shot,aime2024,30,0.3333333333333333,10458.633333333333,38103.46666666667,10458.633333333333,38103.46666666667,0.20000399023225757,0.20000399023225757,0.20000399023225757,2.992674193180673e-05,10,30,0.013042552656676415,0.003684215186337228,6.427528781597207e-12,0.006495996438370726,0.5248260830935912
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,self_refine,math500,50,0.88,358.12,1316.68,3375.34,12407.88,0.6347358467738631,0.6347358467738631,0.6347358467738631,0.3032268374257475,44,50,0.1617822196552809,0.7070401482819175,0.6135960812262545,0.7191940909363469,0.9320390416706229
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,self_refine,gsm8k,50,0.92,295.04,1138.08,2047.1,7843.4,0.7045873431179757,0.7045873431179757,0.7045873431179757,0.4146395193423251,46,50,0.48575768059487806,0.5476993816963831,0.5471381007154738,0.5509913866638034,0.9040822174800318
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,self_refine,aime2024,30,0.43333333333333335,481.4,1744.0666666666666,11371.9,41556.03333333333,0.26652096981742074,0.26652096981742074,0.26652096981742074,0.03762097971588897,13,30,0.0006729429892738622,0.8055013665142899,0.5686464977905921,0.8055013665142899,1.0
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,self_consistency,math500,50,0.92,2743.36,9905.1,14851.74,53839.64,0.553337331380014,0.553337331380014,0.553337331380014,0.003634052663081473,46,50,0.0010808834514070306,0.045115728341822335,0.0033709043596561227,0.07322340399875522,0.4472749946372649
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,self_consistency,gsm8k,50,0.98,1296.12,4923.54,6246.7,23755.62,0.6102559121884266,0.6102559121884266,0.6102559121884266,0.05677528619496585,49,50,0.022133910828982428,0.30806552811748206,0.0270515577772032,0.3387447267291384,0.631580835215434
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,self_consistency,aime2024,30,0.5333333333333333,11543.233333333334,42291.066666666666,57785.03333333333,209879.3,0.32000000017892005,0.32000000017892005,0.32000000017892005,8.386879234182015e-10,16,30,1.3578960566915553e-13,0.03830943821189778,4.886438292648565e-16,0.0434553740286885,0.6043155640114294
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,math500,50,0.94,194.26,765.48,2039.54,1618.34,0.728119203256997,0.728119203256997,0.728119203256997,0.43648724270477923,47,50,0.5217418746286036,0.36787944117144233,0.9750991663800226,0.36787944117144233,1.0
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,gsm8k,50,0.98,105.28,397.78,838.32,872.68,0.8184469392902444,0.8184469392902444,0.8184469392902444,0.5878748451281742,49,50,0.9283787389548809,0.36787944117144233,1.0,0.36787944117144233,1.0
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,aime2024,30,0.6666666666666666,255.16666666666666,1016.4,4965.066666666667,2789.133333333333,0.436305087063206,0.436305087063206,0.436305087063206,0.1361440764870225,20,30,0.0241110499654373,0.36787944117144233,0.9606530659712633,0.36787944117144233,1.0
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,tir,math500,50,0.96,169.12,667.8,1193.54,667.8,0.7666821157199486,0.7666821157199486,0.7666821157199486,0.4965680096873661,48,50,0.7567239655304173,0.3417319188679695,0.9836054441546931,0.36787944117144233,0.9289236652632422
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,tir,gsm8k,50,0.94,103.52,409.02,422.44,409.02,0.7729850262677072,0.7729850262677072,0.7729850262677072,0.5558112400736892,47,50,0.9824982183742995,0.3220319485374332,0.9916283119087794,0.36787944117144233,0.8753735938925631
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,tir,aime2024,30,0.7666666666666667,271.26666666666665,1075.3,3634.5,1075.3,0.5278703735439588,0.5278703735439588,0.5278703735439588,0.22131643546943106,23,30,0.13912813874913718,0.3655761811962477,0.9225999681054067,0.36787944117144233,0.9937390902632113
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,cot_zero,math500,50,0.56,1166.52,4600.88,1166.52,4600.88,0.5327815070260182,0.5327815070260182,0.5327815070260182,0.878488870651867,28,50,1.0,0.8419698602928606,0.9126911021957423,0.8419698602928606,1.0
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,cot_zero,gsm8k,50,0.76,1181.82,4367.6,1181.82,4367.6,0.7537044905554021,0.7537044905554021,0.7537044905554021,0.9792910873532965,38,50,1.0,0.9667304969037601,1.0,0.9667304969037601,1.0
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,cot_zero,aime2024,30,0.1,5828.366666666667,20538.466666666667,5828.366666666667,20538.466666666667,0.0987311655738128,0.0987311655738128,0.0987311655738128,0.9682791393453198,3,30,1.0,1.0,0.8688435532375445,1.0,1.0
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,cot_few_shot,math500,50,0.56,2074.96,7396.46,2074.96,7396.46,0.5289245533432237,0.5289245533432237,0.5289245533432237,0.8612703274251061,28,50,1.0,0.7968183918051065,0.9437900942446619,0.7968183918051065,1.0
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,cot_few_shot,gsm8k,50,0.78,660.5,2608.72,660.5,2608.72,0.6681877212164553,0.6681877212164553,0.6681877212164553,0.6416273115912027,39,50,1.0,0.43271231900001234,0.9737028230995917,0.43271231900001234,1.0
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,cot_few_shot,aime2024,30,0.0,6419.9,23150.066666666666,6419.9,23150.066666666666,0.0,0.0,0.0,0.0,0,30,0.0,0.0,0.0,0.0,0.0
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,self_refine,math500,50,0.56,357.88,1382.48,1018.08,3965.26,0.4988144636060078,0.4988144636060078,0.4988144636060078,0.726850283955392,28,50,0.8410336683914686,0.7189006821451032,0.8244177207286265,0.7350566263220074,0.9223517314264429
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,self_refine,gsm8k,50,0.74,256.6,1008.12,747.74,2945.76,0.71198119113966,0.71198119113966,0.71198119113966,0.9053418619583106,37,50,0.9758429957908441,0.8633252845776092,0.9893656935057469,0.8633252845776092,1.0
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,self_refine,aime2024,30,0.03333333333333333,486.06666666666666,1799.6,1394.9,5218.133333333333,0.029995962164942918,0.029995962164942918,0.029995962164942918,0.7496971623707188,1,30,0.5342170163072243,1.0,0.6065306597126334,1.0,1.0
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,self_consistency,math500,50,0.58,871.74,2495.56,3780.76,13557.72,0.4752333632923885,0.4752333632923885,0.4752333632923885,0.5484196693637435,29,50,0.3320829468764104,0.8038246541566545,0.9292696621299362,0.8038246541566545,1.0
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,self_consistency,gsm8k,50,0.84,266.38,1037.06,1314.62,5151.8,0.7419254707862307,0.7419254707862307,0.7419254707862307,0.7081115201971152,42,50,0.6640466679371002,0.7290911890734753,0.9625267294964412,0.7290911890734753,1.0
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,self_consistency,aime2024,30,0.06666666666666667,1781.5333333333333,6583.766666666666,11111.866666666667,37646.46666666667,0.04655350322297074,0.04655350322297074,0.04655350322297074,0.24575637086140284,2,30,0.02694776897861341,0.6839397205857212,0.6839397205857212,0.6839397205857212,1.0
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,plan_solve,math500,50,0.86,338.18,1345.08,692.26,1719.32,0.7226336814241834,0.7226336814241834,0.7226336814241834,0.6006793064656494,43,50,0.9837993256179983,0.36787944117144233,0.9816991004517504,0.36787944117144233,1.0
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,plan_solve,gsm8k,50,0.96,177.62,694.2,305.26,990.84,0.8089077733296512,0.8089077733296512,0.8089077733296512,0.6065306597126334,48,50,1.0,0.36787944117144233,1.0,0.36787944117144233,1.0
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,plan_solve,aime2024,30,0.36666666666666664,790.9,3154.366666666667,1464.8666666666666,3663.6,0.2944789024584908,0.2944789024584908,0.2944789024584908,0.5078106985806189,11,30,0.7198102318984541,0.36787944117144233,0.8778470661891361,0.36787944117144233,1.0
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,tir,math500,50,0.9,305.16,1218.44,465.78,1218.44,0.7546905148774444,0.7546905148774444,0.7546905148774444,0.5963625413262347,45,50,0.9810296073693981,0.36787944117144233,0.9708581257408119,0.36787944117144233,1.0
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,tir,gsm8k,50,0.94,155.86,609.24,184.72,609.24,0.7920555280519502,0.7920555280519502,0.7920555280519502,0.6065306597126334,47,50,1.0,0.36787944117144233,1.0,0.36787944117144233,1.0
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,tir,aime2024,30,0.4,843.1666666666666,3345.266666666667,1243.1,3345.266666666667,0.3170796375300957,0.3170796375300957,0.3170796375300957,0.48174773456309805,12,30,0.8315661550523975,0.36787944117144233,0.7201530687919013,0.36787944117144233,1.0
