model_alias,model_name,method_name,dataset_name,sample_count,accuracy,avg_response_length_tokens,avg_response_length_chars,avg_total_response_length_tokens,avg_total_response_length_chars,avg_score_i,joint_score,mean_sample_score,mean_efficiency_on_correct,correct_count,total_count,mean_length_factor_on_correct,mean_answer_factor_on_correct,mean_reflection_factor_on_correct,mean_count_factor_on_correct,mean_tail_factor_on_correct
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,cot_zero,overall,130,0.7846153846153846,4100.076923076923,14912.153846153846,4100.076923076923,14912.153846153846,0.5112007569363879,0.5112007569363879,0.5112007569363879,0.12882594121888316,102,130,0.6293849384381901,0.2476797441923998,0.017269868064496943,0.2729274965654224,0.6511122177266341
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,cot_few_shot,overall,130,0.7846153846153846,3534.8076923076924,12856.607692307693,3534.8076923076924,12856.607692307693,0.4996375105460599,0.4996375105460599,0.4996375105460599,0.09198226399479886,102,130,0.7266646985228171,0.08260389854188235,0.03917774056223767,0.08825339321612789,0.7452807226682142
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,self_refine,overall,130,0.7923076923076923,362.3076923076923,1346.6153846153845,4709.838461538461,17378.80769230769,0.5766291429931889,0.5766291429931889,0.5766291429931889,0.3194608880853049,103,130,0.28613610903939135,0.6483053965740171,0.5782425696907252,0.6549675878875727,0.9281310663843579
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,self_consistency,overall,130,0.8538461538461538,4217.469230769231,15462.8,21449.792307692307,78278.01538461538,0.5213820167983818,0.5213820167983818,0.5213820167983818,0.026568968103370103,111,130,0.010218759183666982,0.16021158011595327,0.013338630014658976,0.18614463223540126,0.5512717090365163
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,plan_solve,overall,130,0.8923076923076924,174.09230769230768,681.9615384615385,2252.653846153846,1601.7307692307693,0.6955189210712173,0.6955189210712173,0.6955189210712173,0.44865214955297944,116,130,0.6077124768589851,0.36787944117144233,0.9831269149938476,0.36787944117144233,1.0
DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,tir,overall,130,0.9076923076923077,167.46153846153845,662.3076923076923,1460.2615384615385,662.3076923076923,0.7139959100438581,0.7139959100438581,0.7139959100438581,0.4665141590191007,118,130,0.7262721508498498,0.33853293096979314,0.9749100953013751,0.36787944117144233,0.9202279145901691
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,cot_zero,overall,130,0.5307692307692308,2248.2153846153847,8189.0615384615385,2248.2153846153847,8189.0615384615385,0.5175864218945031,0.5175864218945031,0.5175864218945031,0.9379070596480218,69,130,1.0,0.9175494923267099,0.958867848133238,0.9175494923267099,1.0
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,cot_few_shot,overall,130,0.5153846153846153,2533.6153846153848,9190.469230769231,2533.6153846153848,9190.469230769231,0.4604277979075689,0.4604277979075689,0.4604277979075689,0.7334184226859684,67,130,1.0,0.5848760509185591,0.9612019811900688,0.5848760509185591,1.0
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,self_refine,overall,130,0.5076923076923077,348.5076923076923,1334.753846153846,1001.0615384615385,3862.269230769231,0.47261278155562825,0.47261278155562825,0.47261278155562825,0.8272599091754422,66,130,0.9119598572049936,0.8041250701429459,0.9135872348458608,0.810979107066481,0.9670583103021273
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,self_consistency,overall,130,0.5615384615384615,848.8615384615384,2878.0307692307692,4524.038461538462,15883.615384615385,0.4788811292355391,0.4788811292355391,0.4788811292355391,0.632005027418496,73,130,0.5147159048045389,0.7575427993534299,0.9416824970108236,0.7575427993534299,1.0
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,plan_solve,overall,130,0.7846153846153846,380.9,1512.2692307692307,721.7076923076924,1887.8153846153846,0.657011075472665,0.657011075472665,0.657011075472665,0.5934176424374131,102,130,0.9629537603182051,0.36787944117144233,0.9791115592892722,0.36787944117144233,1.0
Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,tir,overall,130,0.8,371.89230769230767,1474.9384615384615,537.0615384615385,1474.9384615384615,0.66807454824902,0.66807454824902,0.66807454824902,0.5877329632781876,104,130,0.9723569826178047,0.36787944117144233,0.9551005046523015,0.36787944117144233,1.0
